Diane Abbott
Irene Adams
Nick Ainger
Bob Ainsworth
Peter Ainsworth
Richard Allan
Graham Allen
David Amess
Michael Ancram
Donald Anderson
Janet Anderson
James Arbuthnot
Hilary Armstrong
Paddy Ashdown
Joe Ashton
Candy Atherton
Charlotte Atkins
David Atkinson
Peter Atkinson
John Austin
Norman Baker
Tony Baldry
Jackie Ballard
Tony Banks
Harry Barnes
Kevin Barron
John Battle
Hugh Bayley
Nigel Beard
Margaret Beckett
Anne Begg
Roy Beggs
Alan Beith
Martin Bell
Stuart Bell
Tony Benn
Andrew Bennett
Joe Benton
John Bercow
Paul Beresford
Gerry Bermingham
Roger Berry
Harold Best
Clive Betts
Liz Blackman
Tony Blair
Hazel Blears
Bob Blizzard
David Blunkett
Crispin Blunt
Paul Boateng
Richard Body
David Borrow
Tim Boswell
Peter Bottomley
Virginia Bottomley
Keith Bradley
Peter Bradley
Ben Bradshaw
Graham Brady
Tom Brake
Peter Brand
Julian Brazier
Colin Breed
Peter Brooke
Gordon Brown
Nick Brown
Russell Brown
Des Browne
Angela Browning
Ian Bruce
Malcolm Bruce
Karen Buck
Richard Burden
Colin Burgon
John Burnett
Simon Burns
Paul Burstow
Christine Butler
John Butterfill
Stephen Byers
Vincent Cable
Richard Caborn
Alan Campbell
Anne Campbell
Menzies Campbell
Ronnie Campbell
Dale Campbell-Savours
Dennis Canavan
Jamie Cann
Ivor Caplin
Roger Casale
William Cash
Martin Caton
Ian Cawsey
Ben Chapman
Sydney Chapman
David Chaytor
David Chidgey
Malcolm Chisholm
Christopher Chope
Judith Church
Michael Clapham
James Clappison
Alan Clark
David Clark
Helen Clark
Lynda Clark
Michael Clark
Paul Clark
Charles Clarke
Eric Clarke
Kenneth Clarke
Tom Clarke
Tony Clarke
David Clelland
Geoffrey Clifton-Brown
Ann Clwyd
Vernon Coaker
Ann Coffey
Harry Cohen
Iain Coleman
Tim Collins
Tony Colman
Michael Colvin
Michael Connarty
Frank Cook
Robin Cook
Yvette Cooper
Robin Corbett
Jeremy Corbyn
Patrick Cormack
Jean Corston
Brian Cotter
Jim Cousins
Tom Cox
James Cran
Ross Cranston
David Crausby
Ann Cryer
John Cryer
John Cummings
Lawrence Cunliffe
Jack Cunningham
Jim Cunningham
Roseanna Cunningham
David Curry
Claire Curtis-Thomas
Cynog Dafis
Tam Dalyell
Alistair Darling
Keith Darvill
Edward Davey
Valerie Davey
Ian Davidson
Denzil Davies
Geraint Davies
Quentin Davies
Ron Davies
David Davis
Terry Davis
Hilton Dawson
Stephen Day
Janet Dean
John Denham
Donald Dewar
Andrew Dismore
Jim Dobbin
Frank Dobson
Jeffrey M Donaldson
Brian H Donohoe
Frank Doran
Stephen Dorrell
Jim Dowd
David Drew
Julia Drown
Alan Duncan
Iain Duncan Smith
Gwyneth Dunwoody
Angela Eagle
Maria Eagle
Huw Edwards
Clive Efford
Louise Ellman
Peter Emery
Jeff Ennis
Bill Etherington
Nigel Evans
Margaret Ewing
David Faber
Michael Fabricant
Michael Fallon
Derek Fatchett
Ronnie Fearn
Frank Field
Mark Fisher
Jim Fitzpatrick
Lorna Fitzsimons
Howard Flight
Caroline Flint
Paul Flynn
Barbara Follett
Clifford Forsythe
Eric Forth
Derek Foster
Don Foster
Michael Foster
Michael Jabez Foster
George Foulkes
Norman Fowler
Liam Fox
Christopher Fraser
Maria Fyfe
Sam Galbraith
Roger Gale
George Galloway
Mike Gapes
Barry Gardiner
Edward Garnier
Andrew George
Bruce George
Neil Gerrard
Nick Gibb
Ian Gibson
Christopher Gill
Cheryl Gillan
Linda Gilroy
Norman Godman
Roger Godsiff
Paul Goggins
Llin Golding
Alastair Goodlad
Eileen Gordon
Teresa Gorman
Donald Gorrie
Tommy Graham
Bernie Grant
James Gray
Damian Green
John Greenway
Dominic Grieve
Jane Griffiths
Nigel Griffiths
Win Griffiths
Bruce Grocott
John Grogan
John Gummer
John Gunnell
William Hague
Peter Hain
Mike Hall
Patrick Hall
Archie Hamilton
Fabian Hamilton
Philip Hammond
Mike Hancock
David Hanson
Harriet Harman
Evan Harris
Nick Harvey
Alan Haselhurst
Nick Hawkins
John Hayes
Sylvia Heal
Oliver Heald
John Healey
David Heath
Edward Heath
David Heathcoat-Amory
Doug Henderson
Ivan Henderson
Stephen Hepburn
John Heppell
Michael Heseltine
Stephen Hesford
Patricia Hewitt
Keith Hill
David Hinchliffe
Margaret Hodge
Kate Hoey
Douglas Hogg
John Home Robertson
Jimmy Hood
Geoff Hoon
Phil Hope
Kelvin Hopkins
John Horam
Michael Howard
Alan Howarth
George Howarth
Gerald Howarth
Kim Howells
Lindsay Hoyle
Beverley Hughes
Kevin Hughes
Simon Hughes
Joan Humble
John Hume
Andrew Hunter
Alan Hurst
John Hutton
Brian Iddon
Eric Illsley
Adam Ingram
Michael Jack
Glenda Jackson
Helen Jackson
Robert Jackson
David Jamieson
Bernard Jenkin
Brian Jenkins
Alan Johnson
Melanie Johnson
